t,chain,T,ssq
0.0,0.0,8.947058973650492e-102,8.031327193150217
0.0,1.0,3.568119231764903e-101,8.031327193150217
0.0,2.0,1.7858436754983315e-101,8.031327193150217
0.0,3.0,2.6769814536316142e-101,8.031327193150217
0.0,4.0,3.568119231764904e-104,8.031327193150217
1.0,0.0,8.946557837213564e-102,8.031327193150217
1.0,1.0,3.567919376755161e-101,8.031327193150217
1.0,2.0,1.7857436480659555e-101,8.031327193150217
1.0,3.0,2.6768315124105552e-101,8.031327193150217
1.0,4.0,3.5679193767551614e-104,8.031327193150217
2.0,0.0,8.945907656081972e-102,8.031327193150217
2.0,1.0,3.5676600821862314e-101,8.031327193150217
2.0,2.0,1.7856138711342062e-101,8.031327193150217
2.0,3.0,2.6766369766602156e-101,8.031327193150217
2.0,4.0,3.567660082186232e-104,8.031327193150217
3.0,0.0,8.945186101440645e-102,8.031327193150217
3.0,1.0,3.567372323605443e-101,8.031327193150217
3.0,2.0,1.7854698479645216e-101,8.031327193150217
3.0,3.0,2.6764210857849788e-101,8.031327193150217
3.0,4.0,3.5673723236054434e-104,8.031327193150217
4.0,0.0,8.944413896289856e-102,8.031327193150217
4.0,1.0,3.567064365419685e-101,8.031327193150217
4.0,2.0,1.7853157148925498e-101,8.031327193150217
4.0,3.0,2.676190040156114e-101,8.031327193150217
4.0,4.0,3.5670643654196856e-104,8.031327193150217
5.0,0.0,8.943601695374258e-102,8.031327193150217
5.0,1.0,3.5667404567793665e-101,8.031327193150217
5.0,2.0,1.7851535986180704e-101,8.031327193150217
5.0,3.0,2.6759470276987154e-101,8.031327193150217
5.0,4.0,3.566740456779367e-104,8.031327193150217
6.0,0.0,8.942756126310268e-102,8.031327193150217
6.0,1.0,3.5664032408017035e-101,8.031327193150217
6.0,2.0,1.7849848220212503e-101,8.031327193150217
6.0,3.0,2.6756940314114737e-101,8.031327193150217
6.0,4.0,3.5664032408017044e-104,8.031327193150217
7.0,0.0,8.94188175709434e-102,8.031327193150217
7.0,1.0,3.566054539220077e-101,8.031327193150217
7.0,2.0,1.784810296879646e-101,8.031327193150217
7.0,3.0,2.6754324180498585e-101,8.031327193150217
7.0,4.0,3.5660545392200775e-104,8.031327193150217
8.0,0.0,8.940981948452071e-102,8.031327193150217
8.0,1.0,3.565695692303918e-101,8.031327193150217
8.0,2.0,1.7846306939981082e-101,8.031327193150217
8.0,3.0,2.6751631931510097e-101,8.031327193150217
8.0,4.0,3.565695692303918e-104,8.031327193150217
9.0,0.0,8.940059287869091e-102,8.031327193150217
9.0,1.0,3.565327731951782e-101,8.031327193150217
9.0,2.0,1.7844465298418646e-101,8.031327193150217
9.0,3.0,2.6748871308968203e-101,8.031327193150217
9.0,4.0,3.565327731951783e-104,8.031327193150217
10.0,0.0,8.939115835510773e-102,8.031327193150217
10.0,1.0,3.564951479765015e-101,8.031327193150217
10.0,2.0,1.7842582156223877e-101,8.031327193150217
10.0,3.0,2.6746048476936983e-101,8.031327193150217
10.0,4.0,3.564951479765016e-104,8.031327193150217
11.0,0.0,8.938153274645325e-102,8.031327193150217
11.0,1.0,3.56456760703702e-101,8.031327193150217
11.0,2.0,1.7840660873220257e-101,8.031327193150217
11.0,3.0,2.6743168471795195e-101,8.031327193150217
11.0,4.0,3.5645676070370205e-104,8.031327193150217
12.0,0.0,8.937173009135715e-102,8.031327193150217
12.0,1.0,3.5641766736333876e-101,8.031327193150217
12.0,2.0,1.783870425153508e-101,8.031327193150217
12.0,3.0,2.6740235493934443e-101,8.031327193150217
12.0,4.0,3.564176673633388e-104,8.031327193150217
13.0,0.0,8.93617622956134e-102,8.031327193150217
13.0,1.0,3.563779154361453e-101,8.031327193150217
13.0,2.0,1.7836714667579046e-101,8.031327193150217
13.0,3.0,2.6737253105596755e-101,8.031327193150217
13.0,4.0,3.5637791543614535e-104,8.031327193150217
14.0,0.0,8.935163959737405e-102,8.031327193150217
14.0,1.0,3.5633754575223964e-101,8.031327193150217
14.0,2.0,1.7834694164899568e-101,8.031327193150217
14.0,3.0,2.6734224370061734e-101,8.031327193150217
14.0,4.0,3.563375457522397e-104,8.031327193150217
15.0,0.0,8.934137090447744e-102,8.031327193150217
15.0,1.0,3.562965938364007e-101,8.031327193150217
15.0,2.0,1.7832644521511828e-101,8.031327193150217
15.0,3.0,2.6731151952575916e-101,8.031327193150217
15.0,4.0,3.562965938364007e-104,8.031327193150217
16.0,0.0,8.933096404534457e-102,8.031327193150217
16.0,1.0,3.562550909086525e-101,8.031327193150217
16.0,2.0,1.7830567299978033e-101,8.031327193150217
16.0,3.0,2.672803819542161e-101,8.031327193150217
16.0,4.0,3.562550909086526e-104,8.031327193150217
17.0,0.0,8.93204259596692e-102,8.031327193150217
17.0,1.0,3.5621306464474266e-101,8.031327193150217
17.0,2.0,1.7828463885469346e-101,8.031327193150217
17.0,3.0,2.6724885174971773e-101,8.031327193150217
17.0,4.0,3.5621306464474274e-104,8.031327193150217
18.0,0.0,8.930976284607748e-102,8.031327193150217
18.0,1.0,3.56170539765015e-101,8.031327193150217
18.0,2.0,1.7826335515238977e-101,8.031327193150217
18.0,3.0,2.6721694745870205e-101,8.031327193150217
18.0,4.0,3.5617053976501506e-104,8.031327193150217
19.0,0.0,8.929898027834194e-102,8.031327193150217
19.0,1.0,3.5612753849787426e-101,8.031327193150217
19.0,2.0,1.782418330181858e-101,8.031327193150217
19.0,3.0,2.6718468575802972e-101,8.031327193150217
19.0,4.0,3.561275384978743e-104,8.031327193150217
20.0,0.0,8.928808329816314e-102,8.031327193150217
20.0,1.0,3.560840809498033e-101,8.031327193150217
20.0,2.0,1.782200825153763e-101,8.031327193150217
20.0,3.0,2.6715208173258948e-101,8.031327193150217
20.0,4.0,3.5608408094980334e-104,8.031327193150217
21.0,0.0,8.927707649018942e-102,8.031327193150217
21.0,1.0,3.5604018540454414e-101,8.031327193150217
21.0,2.0,1.7819811279497412e-101,8.031327193150217
21.0,3.0,2.671191490997588e-101,8.031327193150217
21.0,4.0,3.560401854045442e-104,8.031327193150217
22.0,0.0,8.9265964043365e-102,8.031327193150217
22.0,1.0,3.5599586856775685e-101,8.031327193150217
22.0,2.0,1.7817593221816205e-101,8.031327193150217
22.0,3.0,2.6708590039295915e-101,8.031327193150217
22.0,4.0,3.559958685677569e-104,8.031327193150217
23.0,0.0,8.925474980161099e-102,8.031327193150217
23.0,1.0,3.5595114576913667e-101,8.031327193150217
23.0,2.0,1.7815354845745263e-101,8.031327193150217
23.0,3.0,2.6705234711329433e-101,8.031327193150217
23.0,4.0,3.559511457691367e-104,8.031327193150217
24.0,0.0,8.924343730608006e-102,8.031327193150217
24.0,1.0,3.559060311309276e-101,8.031327193150217
24.0,2.0,1.78130968581029e-101,8.031327193150217
24.0,3.0,2.6701849985597797e-101,8.031327193150217
24.0,4.0,3.5590603113092766e-104,8.031327193150217
25.0,0.0,8.923202983068113e-102,8.031327193150217
25.0,1.0,3.5586053770959586e-101,8.031327193150217
25.0,2.0,1.7810819912365247e-101,8.031327193150217
25.0,3.0,2.6698436841662386e-101,8.031327193150217
25.0,4.0,3.558605377095959e-104,8.031327193150217
26.0,0.0,8.922053041217355e-102,8.031327193150217
26.0,1.0,3.5581467761584675e-101,8.031327193150217
26.0,2.0,1.7808524614673104e-101,8.031327193150217
26.0,3.0,2.669499618812886e-101,8.031327193150217
26.0,4.0,3.558146776158468e-104,8.031327193150217
27.0,0.0,8.920894187583928e-102,8.031327193150217
27.0,1.0,3.5576846211700626e-101,8.031327193150217
27.0,2.0,1.7806211528956136e-101,8.031327193150217
27.0,3.0,2.669152887032835e-101,8.031327193150217
